symbol,recommended_tier,in_core25_pinned,in_scanner_24h,latest_status,seen_delisted,latest_is_delisted_at_asof,statuses,listed_at,delisted_at,first_seen_ts,last_seen_ts,alive_from,alive_to,alive_days_in_18mo_window,turnover_24h,last_price,base_coin,quote_coin,contract_type,tick_size,qty_step,min_notional,latest_snapshot_ts,source_uri
RHEAUSDT,historical_delisted_18mo,f,f,Closed,t,t,Closed,2025-08-06 13:13:43+02,2025-10-17 15:30:00+02,2026-05-07 01:17:48.12092+02,2026-05-31 22:20:01.363662+02,2025-08-06 13:13:43+02,2025-10-17 15:30:00+02,72.095,,,RHEA,USDT,LinearPerpetual,0.00001,10,5,2026-05-31 22:20:01.363662+02,bybit-public://v5/market/instruments-info?category=linear&status=Closed
RIFSOLUSDT,historical_delisted_18mo,f,f,Closed,t,t,Closed,2024-11-18 11:07:54+01,2025-04-07 11:00:00+02,2026-05-07 01:17:48.12092+02,2026-05-31 22:20:01.363662+02,2024-11-30 22:38:06.420089+01,2025-04-07 11:00:00+02,127.474,,,RIFSOL,USDT,LinearPerpetual,0.000001,1,5,2026-05-31 22:20:01.363662+02,bybit-public://v5/market/instruments-info?category=linear&status=Closed
RIFUSDT,historical_delisted_18mo,f,f,Closed,t,t,Closed,2023-10-23 08:53:36+02,2025-12-01 10:00:00+01,2026-05-07 01:17:48.12092+02,2026-05-31 22:20:01.363662+02,2024-11-30 22:38:06.420089+01,2025-12-01 10:00:00+01,365.474,,,RIF,USDT,LinearPerpetual,0.00001,1,5,2026-05-31 22:20:01.363662+02,bybit-public://v5/market/instruments-info?category=linear&status=Closed
RLSUSDT,historical_delisted_18mo,f,f,Closed,t,t,Closed,2025-12-02 10:54:12+01,2026-04-16 11:00:00+02,2026-05-07 01:17:48.12092+02,2026-05-31 22:20:01.363662+02,2025-12-02 10:54:12+01,2026-04-16 11:00:00+02,134.962,,,RLS,USDT,LinearPerpetual,0.000001,10,5,2026-05-31 22:20:01.363662+02,bybit-public://v5/market/instruments-info?category=linear&status=Closed
RONUSDT,historical_delisted_18mo,f,f,Closed,t,t,Closed,2024-02-20 08:48:18+01,2025-01-26 10:00:00+01,2026-05-07 01:17:48.12092+02,2026-05-31 22:20:01.363662+02,2024-11-30 22:38:06.420089+01,2025-01-26 10:00:00+01,56.474,,,RON,USDT,LinearPerpetual,0.001,0.1,5,2026-05-31 22:20:01.363662+02,bybit-public://v5/market/instruments-info?category=linear&status=Closed
RSS3USDT,historical_delisted_18mo,f,f,Closed,t,t,Closed,2022-02-23 02:54:14+01,2025-11-26 10:00:00+01,2026-05-07 01:17:48.12092+02,2026-05-31 22:20:01.363662+02,2024-11-30 22:38:06.420089+01,2025-11-26 10:00:00+01,360.474,,,RSS3,USDT,LinearPerpetual,0.00001,1,5,2026-05-31 22:20:01.363662+02,bybit-public://v5/market/instruments-info?category=linear&status=Closed
SAROSUSDT,historical_delisted_18mo,f,f,Closed,t,t,Closed,2025-05-20 09:48:12+02,2026-02-11 10:00:00+01,2026-05-07 01:17:48.12092+02,2026-05-31 22:20:01.363662+02,2025-05-20 09:48:12+02,2026-02-11 10:00:00+01,267.050,,,SAROS,USDT,LinearPerpetual,0.0000001,1,5,2026-05-31 22:20:01.363662+02,bybit-public://v5/market/instruments-info?category=linear&status=Closed
SCAUSDT,historical_delisted_18mo,f,f,Closed,t,t,Closed,2024-03-13 07:17:40+01,2025-10-21 16:30:00+02,2026-05-07 01:17:48.12092+02,2026-05-31 22:20:01.363662+02,2024-11-30 22:38:06.420089+01,2025-10-21 16:30:00+02,324.703,,,SCA,USDT,LinearPerpetual,0.00001,0.1,5,2026-05-31 22:20:01.363662+02,bybit-public://v5/market/instruments-info?category=linear&status=Closed
SDUSDT,historical_delisted_18mo,f,f,Closed,t,t,Closed,2024-11-14 08:53:31+01,2026-03-06 10:00:00+01,2026-05-07 01:17:48.12092+02,2026-05-31 22:20:01.363662+02,2024-11-30 22:38:06.420089+01,2026-03-06 10:00:00+01,460.474,,,SD,USDT,LinearPerpetual,0.00001,1,5,2026-05-31 22:20:01.363662+02,bybit-public://v5/market/instruments-info?category=linear&status=Closed
SENDUSDT,historical_delisted_18mo,f,f,Closed,t,t,Closed,2024-12-13 09:31:47+01,2025-10-18 11:00:00+02,2026-05-07 01:17:48.12092+02,2026-05-31 22:20:01.363662+02,2024-12-13 09:31:47+01,2025-10-18 11:00:00+02,309.020,,,SEND,USDT,LinearPerpetual,0.0001,1,5,2026-05-31 22:20:01.363662+02,bybit-public://v5/market/instruments-info?category=linear&status=Closed
SERAPHUSDT,historical_delisted_18mo,f,f,Closed,t,t,Closed,2025-03-11 09:16:28+01,2025-10-18 11:30:00+02,2026-05-07 01:17:48.12092+02,2026-05-31 22:20:01.363662+02,2025-03-11 09:16:28+01,2025-10-18 11:30:00+02,221.051,,,SERAPH,USDT,LinearPerpetual,0.00001,1,5,2026-05-31 22:20:01.363662+02,bybit-public://v5/market/instruments-info?category=linear&status=Closed
SFPUSDT,historical_delisted_18mo,f,f,Closed,t,t,Closed,2021-11-26 01:00:00+01,2026-04-09 08:00:00+02,2026-05-07 01:17:48.12092+02,2026-05-31 22:20:01.363662+02,2024-11-30 22:38:06.420089+01,2026-04-09 08:00:00+02,494.349,,,SFP,USDT,LinearPerpetual,0.0001,0.1,5,2026-05-31 22:20:01.363662+02,bybit-public://v5/market/instruments-info?category=linear&status=Closed
SILLYUSDT,historical_delisted_18mo,f,f,Closed,t,t,Closed,2023-12-27 09:46:23+01,2025-01-30 10:00:00+01,2026-05-07 01:17:48.12092+02,2026-05-31 22:20:01.363662+02,2024-11-30 22:38:06.420089+01,2025-01-30 10:00:00+01,60.474,,,SILLY,USDT,LinearPerpetual,0.000001,1,5,2026-05-31 22:20:01.363662+02,bybit-public://v5/market/instruments-info?category=linear&status=Closed
SKATEUSDT,historical_delisted_18mo,f,f,Closed,t,t,Closed,2025-06-09 12:11:38+02,2025-10-21 16:00:00+02,2026-05-07 01:17:48.12092+02,2026-05-31 22:20:01.363662+02,2025-06-09 12:11:38+02,2025-10-21 16:00:00+02,134.159,,,SKATE,USDT,LinearPerpetual,0.00001,1,5,2026-05-31 22:20:01.363662+02,bybit-public://v5/market/instruments-info?category=linear&status=Closed
SKYAIUSDT,historical_delisted_18mo,f,f,Closed,t,t,Closed,2025-05-13 12:20:53+02,2026-03-06 10:00:00+01,2026-05-07 01:17:48.12092+02,2026-05-31 22:20:01.363662+02,2025-05-13 12:20:53+02,2026-03-06 10:00:00+01,296.944,,,SKYAI,USDT,LinearPerpetual,0.00001,10,5,2026-05-31 22:20:01.363662+02,bybit-public://v5/market/instruments-info?category=linear&status=Closed
SLERFUSDT,historical_delisted_18mo,f,f,Closed,t,t,Closed,2024-03-18 12:25:01+01,2025-10-02 11:00:00+02,2026-05-07 01:17:48.12092+02,2026-05-31 22:20:01.363662+02,2024-11-30 22:38:06.420089+01,2025-10-02 11:00:00+02,305.474,,,SLERF,USDT,LinearPerpetual,0.00001,1,5,2026-05-31 22:20:01.363662+02,bybit-public://v5/market/instruments-info?category=linear&status=Closed
SLFUSDT,historical_delisted_18mo,f,f,Closed,t,t,Closed,2024-09-03 10:59:13+02,2025-09-19 11:00:00+02,2026-05-07 01:17:48.12092+02,2026-05-31 22:20:01.363662+02,2024-11-30 22:38:06.420089+01,2025-09-19 11:00:00+02,292.474,,,SLF,USDT,LinearPerpetual,0.00001,1,5,2026-05-31 22:20:01.363662+02,bybit-public://v5/market/instruments-info?category=linear&status=Closed
SOLOUSDT,historical_delisted_18mo,f,f,Closed,t,t,Closed,2024-12-26 08:56:52+01,2025-10-17 15:30:00+02,2026-05-07 01:17:48.12092+02,2026-05-31 22:20:01.363662+02,2024-12-26 08:56:52+01,2025-10-17 15:30:00+02,295.231,,,SOLO,USDT,LinearPerpetual,0.0001,1,5,2026-05-31 22:20:01.363662+02,bybit-public://v5/market/instruments-info?category=linear&status=Closed
SPECUSDT,historical_delisted_18mo,f,f,Closed,t,t,Closed,2024-05-27 09:59:55+02,2025-10-06 11:00:00+02,2026-05-07 01:17:48.12092+02,2026-05-31 22:20:01.363662+02,2024-11-30 22:38:06.420089+01,2025-10-06 11:00:00+02,309.474,,,SPEC,USDT,LinearPerpetual,0.0001,0.01,5,2026-05-31 22:20:01.363662+02,bybit-public://v5/market/instruments-info?category=linear&status=Closed
